Date,Price,Open,High,Low,Vol.,Change %
11/07/1997,1033.6,1056.44,1056.44,1033.6,,-2.29%
11/06/1997,1057.8,1070.85,1070.85,1057.8,,-1.21%
11/05/1997,1070.74,1066.8,1070.74,1066.5,,0.42%
11/04/1997,1066.24,1075.46,1075.46,1066.24,,-0.84%
11/03/1997,1075.24,1066.01,1075.24,1066.01,,0.96%
10/31/1997,1065,1056.44,1066.95,1050.97,,0.86%
10/30/1997,1055.88,1045.19,1056.9,1028.98,,1.12%
10/29/1997,1044.18,1074.9,1074.9,1044.18,,1.55%
10/28/1997,1028.2,1013.56,1028.2,956.82,,-0.24%
10/27/1997,1030.68,1086.15,1086.15,1030.68,,-5.10%
10/24/1997,1086.04,1098.31,1098.31,1086.04,,-0.72%
10/23/1997,1093.92,1107.31,1107.31,1093.92,,-1.28%
10/22/1997,1108.1,1094.26,1108.1,1094.26,,1.23%
10/21/1997,1094.59,1088.4,1094.59,1086.81,,0.58%
10/20/1997,1088.29,1090.21,1090.21,1086.59,,-0.17%
10/17/1997,1090.09,1101.12,1101.12,1090.09,,-0.99%
10/16/1997,1101.01,1101.8,1103.18,1101.01,,-0.06%
10/15/1997,1101.68,1104.84,1104.84,1095.51,,-0.40%
10/14/1997,1106.07,1116.99,1116.99,1106.07,,-0.97%
10/13/1997,1116.87,1120.25,1120.25,1110.91,,-0.14%
10/10/1997,1118.45,1120.59,1120.59,1113.59,,-0.28%
10/09/1997,1121.6,1107.09,1121.6,1098.22,,1.32%
10/08/1997,1106.97,1118.45,1118.45,1104.65,,-1.02%
10/07/1997,1118.34,1131.73,1131.73,1117.84,,-1.17%
10/06/1997,1131.62,1143.1,1143.1,1131.15,,-0.99%
10/03/1997,1142.98,1143.66,1145.25,1141.94,,-0.05%
10/02/1997,1143.54,1152.1,1152.1,1143.28,,-0.73%
10/01/1997,1151.98,1151.77,1151.98,1146.15,,0.03%
09/30/1997,1151.65,1156.04,1156.04,1147.85,,-0.37%
09/29/1997,1155.92,1155.48,1155.92,1150.21,,0.05%
09/26/1997,1155.36,1150.64,1155.36,1149.86,,0.42%
09/25/1997,1150.52,1162.8,1162.8,1150.52,,-1.04%
09/24/1997,1162.56,1170.11,1170.11,1161.94,,-0.64%
09/23/1997,1169.99,1181.7,1181.7,1169.94,,-0.98%
09/22/1997,1181.58,1185.19,1185.19,1178.99,,-0.10%
09/17/1997,1182.82,1175.51,1182.82,1172.96,,0.63%
09/16/1997,1175.39,1164.82,1175.39,1163.51,,0.92%
09/15/1997,1164.7,1177.99,1177.99,1164.7,,-1.12%
09/12/1997,1177.87,1179.79,1179.79,1170.28,,-0.15%
09/10/1997,1179.67,1184.52,1184.52,1175.97,,-0.40%
09/09/1997,1184.39,1177.09,1184.39,1175.75,,0.63%
09/08/1997,1176.97,1185.87,1185.87,1176.97,,-0.74%
09/05/1997,1185.74,1195.66,1195.66,1185.74,,-0.52%
09/04/1997,1191.93,1198.13,1198.13,1188.02,,-0.51%
09/03/1997,1198.01,1167.3,1198.01,1167.3,,2.64%
09/02/1997,1167.18,1144.68,1167.18,1144.68,,2.03%
09/01/1997,1143.99,1146.14,1146.15,1136.58,,-0.18%
08/29/1997,1146.02,1155.82,1155.82,1146.02,,-0.84%
08/28/1997,1155.7,1168.99,1168.99,1155.7,,-1.13%
08/27/1997,1168.86,1171.01,1171.01,1163.92,,-0.14%
08/26/1997,1170.55,1173.37,1173.37,1166.04,,-0.23%
08/25/1997,1173.25,1183.17,1183.17,1173.25,,-0.73%
08/22/1997,1181.92,1185.87,1185.87,1178.99,,-1.20%
08/21/1997,1196.32,1206.46,1206.46,1196.32,,-0.83%
